Title,"Percentage of first degree qualifiers obtaining each classification by sex, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2013/14 to 2017/18,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
2013/14 total,395605,,,,,
2014/15 total,370905,,,,,
2015/16 total,376330,,,,,
2016/17 total,391875,,,,,
2017/18 total,396940,,,,,
Last updated,Jan-19,,,,,
,,,,,,
,,,,,,
Academic Year,Mode of study,Sex,Country of HE provider,Classification of First Degree,Number,Percentage
2014/15,Part-time,Female,England,Upper second,6545,37%
2014/15,Part-time,Female,Northern Ireland,First,60,12%
2014/15,Part-time,Female,Northern Ireland,Lower second,175,35%
2014/15,Part-time,Female,Northern Ireland,Third/Pass,35,7%
2014/15,Part-time,Female,Northern Ireland,Total classified,500,
2014/15,Part-time,Female,Northern Ireland,Upper second,225,45%
2014/15,Part-time,Female,Scotland,First,105,18%
2014/15,Part-time,Female,Scotland,Lower second,175,29%
2014/15,Part-time,Female,Scotland,Third/Pass,85,14%
2014/15,Part-time,Female,Scotland,Total classified,605,
2014/15,Part-time,Female,Scotland,Upper second,235,39%
2014/15,Part-time,Female,Wales,First,140,19%
2014/15,Part-time,Female,Wales,Lower second,230,30%
2014/15,Part-time,Female,Wales,Third/Pass,105,14%
2014/15,Part-time,Female,Wales,Total classified,750,
2014/15,Part-time,Female,Wales,Upper second,275,36%
2014/15,Part-time,Male,All,First,2560,19%
2014/15,Part-time,Male,All,Lower second,3890,29%
2014/15,Part-time,Male,All,Third/Pass,2210,17%
2014/15,Part-time,Male,All,Total classified,13355,
2014/15,Part-time,Male,All,Upper second,4695,35%
2014/15,Part-time,Male,England,First,2295,19%
2014/15,Part-time,Male,England,Lower second,3475,29%
2014/15,Part-time,Male,England,Third/Pass,2015,17%
2014/15,Part-time,Male,England,Total classified,11925,
2014/15,Part-time,Male,England,Upper second,4140,35%
2014/15,Part-time,Male,Northern Ireland,First,60,15%
2014/15,Part-time,Male,Northern Ireland,Lower second,135,33%
2014/15,Part-time,Male,Northern Ireland,Third/Pass,45,11%
2014/15,Part-time,Male,Northern Ireland,Total classified,400,
2014/15,Part-time,Male,Northern Ireland,Upper second,165,41%
2014/15,Part-time,Male,Scotland,First,90,18%
2014/15,Part-time,Male,Scotland,Lower second,155,31%
2014/15,Part-time,Male,Scotland,Third/Pass,70,14%
2014/15,Part-time,Male,Scotland,Total classified,495,
2014/15,Part-time,Male,Scotland,Upper second,185,37%
2014/15,Part-time,Male,Wales,First,115,21%
2014/15,Part-time,Male,Wales,Lower second,130,25%
2014/15,Part-time,Male,Wales,Third/Pass,80,15%
2014/15,Part-time,Male,Wales,Total classified,535,
2014/15,Part-time,Male,Wales,Upper second,210,39%
2014/15,Part-time,Other,All,First,0,..
2014/15,Part-time,Other,All,Lower second,0,..
2014/15,Part-time,Other,All,Third/Pass,0,..
2014/15,Part-time,Other,All,Total classified,0,
2014/15,Part-time,Other,All,Upper second,0,..
2014/15,Part-time,Other,England,First,0,..
2014/15,Part-time,Other,England,Lower second,0,..
2014/15,Part-time,Other,England,Third/Pass,0,..
2014/15,Part-time,Other,England,Total classified,0,
2014/15,Part-time,Other,England,Upper second,0,..
2015/16,All,All,All,First,88890,24%
2015/16,All,All,All,Lower second,81595,22%
2015/16,All,All,All,Third/Pass,19280,5%
2015/16,All,All,All,Total classified,376330,
2015/16,All,All,All,Upper second,186565,50%
2015/16,All,All,England,First,75510,24%
2015/16,All,All,England,Lower second,69370,22%
2015/16,All,All,England,Third/Pass,16990,5%
2015/16,All,All,England,Total classified,319320,
2015/16,All,All,England,Upper second,157450,49%
2015/16,All,All,Northern Ireland,First,2080,23%
2015/16,All,All,Northern Ireland,Lower second,1995,22%
2015/16,All,All,Northern Ireland,Third/Pass,345,4%
2015/16,All,All,Northern Ireland,Total classified,9140,
2015/16,All,All,Northern Ireland,Upper second,4720,52%
2015/16,All,All,Scotland,First,6670,25%
2015/16,All,All,Scotland,Lower second,5015,19%
2015/16,All,All,Scotland,Third/Pass,920,3%
2015/16,All,All,Scotland,Total classified,26905,
2015/16,All,All,Scotland,Upper second,14300,53%
2015/16,All,All,Wales,First,4630,22%
2015/16,All,All,Wales,Lower second,5210,25%
2015/16,All,All,Wales,Third/Pass,1025,5%
2015/16,All,All,Wales,Total classified,20960,
2015/16,All,All,Wales,Upper second,10095,48%
2015/16,All,Female,All,First,50825,24%
2015/16,All,Female,All,Lower second,44030,20%
2015/16,All,Female,All,Third/Pass,9595,4%
2015/16,All,Female,All,Total classified,215090,
2015/16,All,Female,All,Upper second,110645,51%
2015/16,All,Female,England,First,43225,24%
2015/16,All,Female,England,Lower second,37805,21%
2015/16,All,Female,England,Third/Pass,8570,5%
2015/16,All,Female,England,Total classified,183115,
2015/16,All,Female,England,Upper second,93515,51%
2015/16,All,Female,Northern Ireland,First,1215,23%
2015/16,All,Female,Northern Ireland,Lower second,1020,19%
2015/16,All,Female,Northern Ireland,Third/Pass,145,3%
2015/16,All,Female,Northern Ireland,Total classified,5245,
2015/16,All,Female,Northern Ireland,Upper second,2860,55%
2015/16,All,Female,Scotland,First,3770,24%
2015/16,All,Female,Scotland,Lower second,2685,17%
2015/16,All,Female,Scotland,Third/Pass,430,3%
2015/16,All,Female,Scotland,Total classified,15400,
2015/16,All,Female,Scotland,Upper second,8520,55%
2015/16,All,Female,Wales,First,2615,23%
2015/16,All,Female,Wales,Lower second,2520,22%
2015/16,All,Female,Wales,Third/Pass,450,4%
2015/16,All,Female,Wales,Total classified,11335,
2015/16,All,Female,Wales,Upper second,5750,51%
2015/16,All,Male,All,First,38045,24%
2015/16,All,Male,All,Lower second,37555,23%
2015/16,All,Male,All,Third/Pass,9680,6%
2015/16,All,Male,All,Total classified,161160,
2015/16,All,Male,All,Upper second,75880,47%
2015/16,All,Male,England,First,32270,24%
2015/16,All,Male,England,Lower second,31565,23%
2015/16,All,Male,England,Third/Pass,8415,6%
2015/16,All,Male,England,Total classified,136160,
2015/16,All,Male,England,Upper second,63910,47%
2015/16,All,Male,Northern Ireland,First,865,22%
2015/16,All,Male,Northern Ireland,Lower second,975,25%
2015/16,All,Male,Northern Ireland,Third/Pass,195,5%
2015/16,All,Male,Northern Ireland,Total classified,3900,
2015/16,All,Male,Northern Ireland,Upper second,1860,48%
2015/16,All,Male,Scotland,First,2900,25%
2015/16,All,Male,Scotland,Lower second,2330,20%
2015/16,All,Male,Scotland,Third/Pass,490,4%
2015/16,All,Male,Scotland,Total classified,11495,
2015/16,All,Male,Scotland,Upper second,5770,50%
2015/16,All,Male,Wales,First,2010,21%
2015/16,All,Male,Wales,Lower second,2685,28%
2015/16,All,Male,Wales,Third/Pass,575,6%
2015/16,All,Male,Wales,Total classified,9610,
2015/16,All,Male,Wales,Upper second,4340,45%
2015/16,All,Other,All,First,20,26%
2015/16,All,Other,All,Lower second,10,11%
2015/16,All,Other,All,Third/Pass,5,5%
2015/16,All,Other,All,Total classified,75,
2015/16,All,Other,All,Upper second,45,58%
2015/16,All,Other,England,First,15,30%
2015/16,All,Other,England,Lower second,0,4%
2015/16,All,Other,England,Third/Pass,5,7%
2015/16,All,Other,England,Total classified,45,
2015/16,All,Other,England,Upper second,25,59%
2015/16,All,Other,Scotland,First,0,..
2015/16,All,Other,Scotland,Lower second,5,..
2015/16,All,Other,Scotland,Third/Pass,0,..
2015/16,All,Other,Scotland,Total classified,15,
2015/16,All,Other,Scotland,Upper second,10,..
2015/16,All,Other,Wales,First,5,..
2015/16,All,Other,Wales,Lower second,5,..
2015/16,All,Other,Wales,Third/Pass,0,..
2015/16,All,Other,Wales,Total classified,15,
2015/16,All,Other,Wales,Upper second,10,..
2015/16,Full-time,All,All,First,83720,24%
2015/16,Full-time,All,All,Lower second,73180,21%
2015/16,Full-time,All,All,Third/Pass,14335,4%
2015/16,Full-time,All,All,Total classified,347445,
2015/16,Full-time,All,All,Upper second,176215,51%
2015/16,Full-time,All,England,First,70960,24%
2015/16,Full-time,All,England,Lower second,61755,21%
2015/16,Full-time,All,England,Third/Pass,12415,4%
2015/16,Full-time,All,England,Total classified,293475,
2015/16,Full-time,All,England,Upper second,148340,51%
2015/16,Full-time,All,Northern Ireland,First,1930,23%
2015/16,Full-time,All,Northern Ireland,Lower second,1785,21%
2015/16,Full-time,All,Northern Ireland,Third/Pass,265,3%
2015/16,Full-time,All,Northern Ireland,Total classified,8320,
2015/16,Full-time,All,Northern Ireland,Upper second,4340,52%
2015/16,Full-time,All,Scotland,First,6465,25%
2015/16,Full-time,All,Scotland,Lower second,4670,18%
2015/16,Full-time,All,Scotland,Third/Pass,765,3%
2015/16,Full-time,All,Scotland,Total classified,25740,
2015/16,Full-time,All,Scotland,Upper second,13840,54%
2015/16,Full-time,All,Wales,First,4365,22%
2015/16,Full-time,All,Wales,Lower second,4965,25%
2015/16,Full-time,All,Wales,Third/Pass,890,4%
2015/16,Full-time,All,Wales,Total classified,19910,
2015/16,Full-time,All,Wales,Upper second,9695,49%
2015/16,Full-time,Female,All,First,48075,24%
2015/16,Full-time,Female,All,Lower second,38910,20%
2015/16,Full-time,Female,All,Third/Pass,6770,3%
2015/16,Full-time,Female,All,Total classified,198180,
2015/16,Full-time,Female,All,Upper second,104420,53%
2015/16,Full-time,Female,England,First,40770,24%
2015/16,Full-time,Female,England,Lower second,33150,20%
2015/16,Full-time,Female,England,Third/Pass,5955,4%
2015/16,Full-time,Female,England,Total classified,167880,
2015/16,Full-time,Female,England,Upper second,88005,52%
2015/16,Full-time,Female,Northern Ireland,First,1140,24%
2015/16,Full-time,Female,Northern Ireland,Lower second,900,19%
2015/16,Full-time,Female,Northern Ireland,Third/Pass,105,2%
2015/16,Full-time,Female,Northern Ireland,Total classified,4775,
2015/16,Full-time,Female,Northern Ireland,Upper second,2630,55%
2015/16,Full-time,Female,Scotland,First,3665,25%
2015/16,Full-time,Female,Scotland,Lower second,2490,17%
2015/16,Full-time,Female,Scotland,Third/Pass,330,2%
2015/16,Full-time,Female,Scotland,Total classified,14745,
2015/16,Full-time,Female,Scotland,Upper second,8260,56%
2015/16,Full-time,Female,Wales,First,2500,23%
2015/16,Full-time,Female,Wales,Lower second,2370,22%
2015/16,Full-time,Female,Wales,Third/Pass,385,4%
2015/16,Full-time,Female,Wales,Total classified,10785,
2015/16,Full-time,Female,Wales,Upper second,5525,51%
2015/16,Full-time,Male,All,First,35630,24%
2015/16,Full-time,Male,All,Lower second,34260,23%
2015/16,Full-time,Male,All,Third/Pass,7560,5%
2015/16,Full-time,Male,All,Total classified,149195,
2015/16,Full-time,Male,All,Upper second,71750,48%
2015/16,Full-time,Male,England,First,30175,24%
2015/16,Full-time,Male,England,Lower second,28605,23%
2015/16,Full-time,Male,England,Third/Pass,6460,5%
2015/16,Full-time,Male,England,Total classified,125555,
2015/16,Full-time,Male,England,Upper second,60310,48%
2015/16,Full-time,Male,Northern Ireland,First,795,22%
2015/16,Full-time,Male,Northern Ireland,Lower second,885,25%
2015/16,Full-time,Male,Northern Ireland,Third/Pass,160,5%
2015/16,Full-time,Male,Northern Ireland,Total classified,3545,
2015/16,Full-time,Male,Northern Ireland,Upper second,1710,48%
2015/16,Full-time,Male,Scotland,First,2800,25%
2015/16,Full-time,Male,Scotland,Lower second,2175,20%
2015/16,Full-time,Male,Scotland,Third/Pass,435,4%
2015/16,Full-time,Male,Scotland,Total classified,10985,
2015/16,Full-time,Male,Scotland,Upper second,5570,51%
2015/16,Full-time,Male,Wales,First,1860,20%
2015/16,Full-time,Male,Wales,Lower second,2590,28%
2015/16,Full-time,Male,Wales,Third/Pass,505,6%
2015/16,Full-time,Male,Wales,Total classified,9115,
2015/16,Full-time,Male,Wales,Upper second,4160,46%
2015/16,Full-time,Other,All,First,20,25%
2015/16,Full-time,Other,All,Lower second,10,11%
2015/16,Full-time,Other,All,Third/Pass,5,4%
2015/16,Full-time,Other,All,Total classified,70,
2015/16,Full-time,Other,All,Upper second,45,60%
2015/16,Full-time,Other,England,First,15,30%
2015/16,Full-time,Other,England,Lower second,0,5%
2015/16,Full-time,Other,England,Third/Pass,0,5%
2015/16,Full-time,Other,England,Total classified,45,
2015/16,Full-time,Other,England,Upper second,25,61%
2015/16,Full-time,Other,Scotland,First,0,..
2015/16,Full-time,Other,Scotland,Lower second,5,..
2015/16,Full-time,Other,Scotland,Third/Pass,0,..
2015/16,Full-time,Other,Scotland,Total classified,15,
2015/16,Full-time,Other,Scotland,Upper second,10,..
2015/16,Full-time,Other,Wales,First,5,..
2015/16,Full-time,Other,Wales,Lower second,5,..
2015/16,Full-time,Other,Wales,Third/Pass,0,..
2015/16,Full-time,Other,Wales,Total classified,15,
2015/16,Full-time,Other,Wales,Upper second,10,..
2015/16,Part-time,All,All,First,5170,18%
2015/16,Part-time,All,All,Lower second,8415,29%
2015/16,Part-time,All,All,Third/Pass,4945,17%
2015/16,Part-time,All,All,Total classified,28880,
2015/16,Part-time,All,All,Upper second,10355,36%
2015/16,Part-time,All,England,First,4550,18%
2015/16,Part-time,All,England,Lower second,7615,29%
2015/16,Part-time,All,England,Third/Pass,4575,18%
2015/16,Part-time,All,England,Total classified,25845,
2015/16,Part-time,All,England,Upper second,9110,35%
2015/16,Part-time,All,Northern Ireland,First,150,18%
2015/16,Part-time,All,Northern Ireland,Lower second,210,26%
2015/16,Part-time,All,Northern Ireland,Third/Pass,80,10%
2015/16,Part-time,All,Northern Ireland,Total classified,825,
2015/16,Part-time,All,Northern Ireland,Upper second,380,46%
2015/16,Part-time,All,Scotland,First,205,17%
2015/16,Part-time,All,Scotland,Lower second,345,30%
2015/16,Part-time,All,Scotland,Third/Pass,155,13%
2015/16,Part-time,All,Scotland,Total classified,1165,
2015/16,Part-time,All,Scotland,Upper second,460,39%
2015/16,Part-time,All,Wales,First,265,25%
2015/16,Part-time,All,Wales,Lower second,245,23%
2015/16,Part-time,All,Wales,Third/Pass,135,13%
2015/16,Part-time,All,Wales,Total classified,1050,
2015/16,Part-time,All,Wales,Upper second,405,39%
2015/16,Part-time,Female,All,First,2750,16%
2015/16,Part-time,Female,All,Lower second,5115,30%
2015/16,Part-time,Female,All,Third/Pass,2820,17%
2015/16,Part-time,Female,All,Total classified,16915,
2015/16,Part-time,Female,All,Upper second,6225,37%
2015/16,Part-time,Female,England,First,2455,16%
2015/16,Part-time,Female,England,Lower second,4655,31%
2015/16,Part-time,Female,England,Third/Pass,2615,17%
2015/16,Part-time,Female,England,Total classified,15235,
2015/16,Part-time,Female,England,Upper second,5510,36%
2015/16,Part-time,Female,Northern Ireland,First,80,17%
2015/16,Part-time,Female,Northern Ireland,Lower second,120,25%
2015/16,Part-time,Female,Northern Ireland,Third/Pass,45,9%
2015/16,Part-time,Female,Northern Ireland,Total classified,470,
2015/16,Part-time,Female,Northern Ireland,Upper second,230,49%
2015/16,Part-time,Female,Scotland,First,105,16%
2015/16,Part-time,Female,Scotland,Lower second,190,29%
2015/16,Part-time,Female,Scotland,Third/Pass,100,15%
2015/16,Part-time,Female,Scotland,Total classified,655,
2015/16,Part-time,Female,Scotland,Upper second,260,40%
2015/16,Part-time,Female,Wales,First,115,20%
2015/16,Part-time,Female,Wales,Lower second,150,27%
2015/16,Part-time,Female,Wales,Third/Pass,65,12%
2015/16,Part-time,Female,Wales,Total classified,555,
2015/16,Part-time,Female,Wales,Upper second,225,41%
2015/16,Part-time,Male,All,First,2415,20%
2015/16,Part-time,Male,All,Lower second,3300,28%
2015/16,Part-time,Male,All,Third/Pass,2120,18%
2015/16,Part-time,Male,All,Total classified,11965,
2015/16,Part-time,Male,All,Upper second,4130,35%
2015/16,Part-time,Male,England,First,2095,20%
2015/16,Part-time,Male,England,Lower second,2955,28%
2015/16,Part-time,Male,England,Third/Pass,1960,18%
2015/16,Part-time,Male,England,Total classified,10610,
2015/16,Part-time,Male,England,Upper second,3600,34%
2015/16,Part-time,Male,Northern Ireland,First,70,20%
2015/16,Part-time,Male,Northern Ireland,Lower second,95,27%
2015/16,Part-time,Male,Northern Ireland,Third/Pass,35,11%
2015/16,Part-time,Male,Northern Ireland,Total classified,350,
2015/16,Part-time,Male,Northern Ireland,Upper second,150,43%
2015/16,Part-time,Male,Scotland,First,100,19%
2015/16,Part-time,Male,Scotland,Lower second,155,30%
2015/16,Part-time,Male,Scotland,Third/Pass,55,11%
2015/16,Part-time,Male,Scotland,Total classified,510,
2015/16,Part-time,Male,Scotland,Upper second,200,39%
2015/16,Part-time,Male,Wales,First,155,31%
2015/16,Part-time,Male,Wales,Lower second,95,19%
2015/16,Part-time,Male,Wales,Third/Pass,70,14%
2015/16,Part-time,Male,Wales,Total classified,495,
2015/16,Part-time,Male,Wales,Upper second,180,36%
2015/16,Part-time,Other,All,First,0,..
2015/16,Part-time,Other,All,Lower second,0,..
2015/16,Part-time,Other,All,Third/Pass,0,..
2015/16,Part-time,Other,All,Total classified,0,
2015/16,Part-time,Other,All,Upper second,0,..
2015/16,Part-time,Other,England,First,0,..
2015/16,Part-time,Other,England,Lower second,0,..
2015/16,Part-time,Other,England,Third/Pass,0,..
2015/16,Part-time,Other,England,Total classified,0,
2015/16,Part-time,Other,England,Upper second,0,..
2016/17,All,All,All,First,100945,26%
2016/17,All,All,All,Lower second,79515,20%
2016/17,All,All,All,Third/Pass,19025,5%
2016/17,All,All,All,Total classified,391875,
2016/17,All,All,All,Upper second,192395,49%
2016/17,All,All,England,First,86465,26%
2016/17,All,All,England,Lower second,67375,20%
2016/17,All,All,England,Third/Pass,16650,5%
2016/17,All,All,England,Total classified,332860,
2016/17,All,All,England,Upper second,162375,49%
2016/17,All,All,Northern Ireland,First,2190,23%
2016/17,All,All,Northern Ireland,Lower second,1970,21%
2016/17,All,All,Northern Ireland,Third/Pass,280,3%
2016/17,All,All,Northern Ireland,Total classified,9450,
2016/17,All,All,Northern Ireland,Upper second,5015,53%
2016/17,All,All,Scotland,First,6960,25%
2016/17,All,All,Scotland,Lower second,4945,18%
2016/17,All,All,Scotland,Third/Pass,1015,4%
2016/17,All,All,Scotland,Total classified,27565,
2016/17,All,All,Scotland,Upper second,14645,53%
2016/17,All,All,Wales,First,5330,24%
2016/17,All,All,Wales,Lower second,5225,24%
2016/17,All,All,Wales,Third/Pass,1080,5%
2016/17,All,All,Wales,Total classified,22000,
2016/17,All,All,Wales,Upper second,10365,47%
2016/17,All,Female,All,First,58215,26%
2016/17,All,Female,All,Lower second,42190,19%
2016/17,All,Female,All,Third/Pass,9665,4%
2016/17,All,Female,All,Total classified,223645,
2016/17,All,Female,All,Upper second,113580,51%
2016/17,All,Female,England,First,49895,26%
2016/17,All,Female,England,Lower second,36175,19%
2016/17,All,Female,England,Third/Pass,8585,5%
2016/17,All,Female,England,Total classified,190660,
2016/17,All,Female,England,Upper second,96000,50%
2016/17,All,Female,Northern Ireland,First,1275,24%
2016/17,All,Female,Northern Ireland,Lower second,1015,19%
2016/17,All,Female,Northern Ireland,Third/Pass,110,2%
2016/17,All,Female,Northern Ireland,Total classified,5355,
2016/17,All,Female,Northern Ireland,Upper second,2950,55%
2016/17,All,Female,Scotland,First,3960,25%
2016/17,All,Female,Scotland,Lower second,2505,16%
2016/17,All,Female,Scotland,Third/Pass,495,3%
2016/17,All,Female,Scotland,Total classified,15760,
2016/17,All,Female,Scotland,Upper second,8805,56%
2016/17,All,Female,Wales,First,3080,26%
2016/17,All,Female,Wales,Lower second,2490,21%
2016/17,All,Female,Wales,Third/Pass,470,4%
2016/17,All,Female,Wales,Total classified,11865,
2016/17,All,Female,Wales,Upper second,5825,49%
2016/17,All,Male,All,First,42695,25%
2016/17,All,Male,All,Lower second,37315,22%
2016/17,All,Male,All,Third/Pass,9355,6%
2016/17,All,Male,All,Total classified,168130,
2016/17,All,Male,All,Upper second,78765,47%
2016/17,All,Male,England,First,36540,26%
2016/17,All,Male,England,Lower second,31190,22%
2016/17,All,Male,England,Third/Pass,8065,6%
2016/17,All,Male,England,Total classified,142125,
2016/17,All,Male,England,Upper second,66335,47%
2016/17,All,Male,Northern Ireland,First,910,22%
2016/17,All,Male,Northern Ireland,Lower second,955,23%
2016/17,All,Male,Northern Ireland,Third/Pass,170,4%
2016/17,All,Male,Northern Ireland,Total classified,4095,
2016/17,All,Male,Northern Ireland,Upper second,2060,50%
2016/17,All,Male,Scotland,First,2990,25%
2016/17,All,Male,Scotland,Lower second,2440,21%
2016/17,All,Male,Scotland,Third/Pass,520,4%
2016/17,All,Male,Scotland,Total classified,11790,
2016/17,All,Male,Scotland,Upper second,5835,49%
2016/17,All,Male,Wales,First,2250,22%
2016/17,All,Male,Wales,Lower second,2730,27%
2016/17,All,Male,Wales,Third/Pass,605,6%
2016/17,All,Male,Wales,Total classified,10120,
2016/17,All,Male,Wales,Upper second,4535,45%
2016/17,All,Other,All,First,35,34%
2016/17,All,Other,All,Lower second,10,12%
2016/17,All,Other,All,Third/Pass,5,3%
2016/17,All,Other,All,Total classified,95,
2016/17,All,Other,All,Upper second,50,51%
2016/17,All,Other,England,First,25,36%
2016/17,All,Other,England,Lower second,10,12%
2016/17,All,Other,England,Third/Pass,0,1%
2016/17,All,Other,England,Total classified,75,
2016/17,All,Other,England,Upper second,40,51%
2016/17,All,Other,Scotland,First,5,..
2016/17,All,Other,Scotland,Lower second,0,..
2016/17,All,Other,Scotland,Third/Pass,0,..
2016/17,All,Other,Scotland,Total classified,10,
2016/17,All,Other,Scotland,Upper second,5,..
2016/17,All,Other,Wales,First,0,..
2016/17,All,Other,Wales,Lower second,0,..
2016/17,All,Other,Wales,Third/Pass,0,..
2016/17,All,Other,Wales,Total classified,10,
2016/17,All,Other,Wales,Upper second,5,..
2016/17,Full-time,All,All,First,95525,26%
2016/17,Full-time,All,All,Lower second,71290,20%
2016/17,Full-time,All,All,Third/Pass,14225,4%
2016/17,Full-time,All,All,Total classified,363350,
2016/17,Full-time,All,All,Upper second,182305,50%
2016/17,Full-time,All,England,First,81680,27%
2016/17,Full-time,All,England,Lower second,60045,20%
2016/17,Full-time,All,England,Third/Pass,12225,4%
2016/17,Full-time,All,England,Total classified,307540,
2016/17,Full-time,All,England,Upper second,153595,50%
2016/17,Full-time,All,Northern Ireland,First,2040,24%
2016/17,Full-time,All,Northern Ireland,Lower second,1755,20%
2016/17,Full-time,All,Northern Ireland,Third/Pass,205,2%
2016/17,Full-time,All,Northern Ireland,Total classified,8630,
2016/17,Full-time,All,Northern Ireland,Upper second,4630,54%
2016/17,Full-time,All,Scotland,First,6740,26%
2016/17,Full-time,All,Scotland,Lower second,4545,17%
2016/17,Full-time,All,Scotland,Third/Pass,845,3%
2016/17,Full-time,All,Scotland,Total classified,26275,
2016/17,Full-time,All,Scotland,Upper second,14145,54%
2016/17,Full-time,All,Wales,First,5070,24%
2016/17,Full-time,All,Wales,Lower second,4945,24%
2016/17,Full-time,All,Wales,Third/Pass,950,5%
2016/17,Full-time,All,Wales,Total classified,20905,
2016/17,Full-time,All,Wales,Upper second,9940,48%
2016/17,Full-time,Female,All,First,55365,27%
2016/17,Full-time,Female,All,Lower second,37290,18%
2016/17,Full-time,Female,All,Third/Pass,6890,3%
2016/17,Full-time,Female,All,Total classified,207205,
2016/17,Full-time,Female,All,Upper second,107660,52%
2016/17,Full-time,Female,England,First,47345,27%
2016/17,Full-time,Female,England,Lower second,31770,18%
2016/17,Full-time,Female,England,Third/Pass,6020,3%
2016/17,Full-time,Female,England,Total classified,175955,
2016/17,Full-time,Female,England,Upper second,90820,52%
2016/17,Full-time,Female,Northern Ireland,First,1210,25%
2016/17,Full-time,Female,Northern Ireland,Lower second,890,18%
2016/17,Full-time,Female,Northern Ireland,Third/Pass,75,1%
2016/17,Full-time,Female,Northern Ireland,Total classified,4900,
2016/17,Full-time,Female,Northern Ireland,Upper second,2730,56%
2016/17,Full-time,Female,Scotland,First,3850,26%
2016/17,Full-time,Female,Scotland,Lower second,2290,15%
2016/17,Full-time,Female,Scotland,Third/Pass,395,3%
2016/17,Full-time,Female,Scotland,Total classified,15045,
2016/17,Full-time,Female,Scotland,Upper second,8515,57%
2016/17,Full-time,Female,Wales,First,2960,26%
2016/17,Full-time,Female,Wales,Lower second,2340,21%
2016/17,Full-time,Female,Wales,Third/Pass,405,4%
2016/17,Full-time,Female,Wales,Total classified,11305,
2016/17,Full-time,Female,Wales,Upper second,5600,50%
2016/17,Full-time,Male,All,First,40130,26%
2016/17,Full-time,Male,All,Lower second,33985,22%
2016/17,Full-time,Male,All,Third/Pass,7335,5%
2016/17,Full-time,Male,All,Total classified,156050,
2016/17,Full-time,Male,All,Upper second,74595,48%
2016/17,Full-time,Male,England,First,34305,26%
2016/17,Full-time,Male,England,Lower second,28265,21%
2016/17,Full-time,Male,England,Third/Pass,6205,5%
2016/17,Full-time,Male,England,Total classified,131510,
2016/17,Full-time,Male,England,Upper second,62735,48%
2016/17,Full-time,Male,Northern Ireland,First,830,22%
2016/17,Full-time,Male,Northern Ireland,Lower second,865,23%
2016/17,Full-time,Male,Northern Ireland,Third/Pass,135,4%
2016/17,Full-time,Male,Northern Ireland,Total classified,3730,
2016/17,Full-time,Male,Northern Ireland,Upper second,1900,51%
2016/17,Full-time,Male,Scotland,First,2885,26%
2016/17,Full-time,Male,Scotland,Lower second,2255,20%
2016/17,Full-time,Male,Scotland,Third/Pass,455,4%
2016/17,Full-time,Male,Scotland,Total classified,11220,
2016/17,Full-time,Male,Scotland,Upper second,5625,50%
2016/17,Full-time,Male,Wales,First,2110,22%
2016/17,Full-time,Male,Wales,Lower second,2600,27%
2016/17,Full-time,Male,Wales,Third/Pass,545,6%
2016/17,Full-time,Male,Wales,Total classified,9585,
2016/17,Full-time,Male,Wales,Upper second,4335,45%
2016/17,Full-time,Other,All,First,35,35%
2016/17,Full-time,Other,All,Lower second,10,12%
2016/17,Full-time,Other,All,Third/Pass,5,3%
2016/17,Full-time,Other,All,Total classified,95,
2016/17,Full-time,Other,All,Upper second,50,51%
2016/17,Full-time,Other,England,First,25,36%
2016/17,Full-time,Other,England,Lower second,10,11%
2016/17,Full-time,Other,England,Third/Pass,0,1%
2016/17,Full-time,Other,England,Total classified,75,
2016/17,Full-time,Other,England,Upper second,40,51%
2016/17,Full-time,Other,Scotland,First,5,..
2016/17,Full-time,Other,Scotland,Lower second,0,..
2016/17,Full-time,Other,Scotland,Third/Pass,0,..
2016/17,Full-time,Other,Scotland,Total classified,10,
2016/17,Full-time,Other,Scotland,Upper second,5,..
2016/17,Full-time,Other,Wales,First,0,..
2016/17,Full-time,Other,Wales,Lower second,0,..
2016/17,Full-time,Other,Wales,Third/Pass,0,..
2016/17,Full-time,Other,Wales,Total classified,10,
2016/17,Full-time,Other,Wales,Upper second,5,..
2016/17,Part-time,All,All,First,5415,19%
2016/17,Part-time,All,All,Lower second,8225,29%
2016/17,Part-time,All,All,Third/Pass,4795,17%
2016/17,Part-time,All,All,Total classified,28525,
2016/17,Part-time,All,All,Upper second,10090,35%
2016/17,Part-time,All,England,First,4785,19%
2016/17,Part-time,All,England,Lower second,7330,29%
2016/17,Part-time,All,England,Third/Pass,4425,17%
2016/17,Part-time,All,England,Total classified,25320,
2016/17,Part-time,All,England,Upper second,8780,35%
2016/17,Part-time,All,Northern Ireland,First,150,18%
2016/17,Part-time,All,Northern Ireland,Lower second,215,26%
2016/17,Part-time,All,Northern Ireland,Third/Pass,75,9%
2016/17,Part-time,All,Northern Ireland,Total classified,820,
