Title,"Percentage of first degree qualifiers obtaining each classification by sex, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2013/14 to 2017/18,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
2013/14 total,395605,,,,,
2014/15 total,370905,,,,,
2015/16 total,376330,,,,,
2016/17 total,391875,,,,,
2017/18 total,396940,,,,,
Last updated,Jan-19,,,,,
,,,,,,
,,,,,,
Academic Year,Mode of study,Sex,Country of HE provider,Classification of First Degree,Number,Percentage
2013/14,Full-time,All,England,First,63590,21%
2013/14,Full-time,All,England,Lower second,72465,23%
2013/14,Full-time,All,England,Third/Pass,14505,5%
2013/14,Full-time,All,England,Total classified,309250,
2013/14,Full-time,All,England,Upper second,158690,51%
2013/14,Full-time,All,Northern Ireland,First,1450,19%
2013/14,Full-time,All,Northern Ireland,Lower second,1930,25%
2013/14,Full-time,All,Northern Ireland,Third/Pass,225,3%
2013/14,Full-time,All,Northern Ireland,Total classified,7690,
2013/14,Full-time,All,Northern Ireland,Upper second,4085,53%
2013/14,Full-time,All,Scotland,First,4915,21%
2013/14,Full-time,All,Scotland,Lower second,5165,22%
2013/14,Full-time,All,Scotland,Third/Pass,730,3%
2013/14,Full-time,All,Scotland,Total classified,23735,
2013/14,Full-time,All,Scotland,Upper second,12925,54%
2013/14,Full-time,All,Wales,First,3855,18%
2013/14,Full-time,All,Wales,Lower second,6200,29%
2013/14,Full-time,All,Wales,Third/Pass,1215,6%
2013/14,Full-time,All,Wales,Total classified,21690,
2013/14,Full-time,All,Wales,Upper second,10420,48%
2013/14,Full-time,Female,All,First,41410,20%
2013/14,Full-time,Female,All,Lower second,44470,22%
2013/14,Full-time,Female,All,Third/Pass,7535,4%
2013/14,Full-time,Female,All,Total classified,202555,
2013/14,Full-time,Female,All,Upper second,109145,54%
2013/14,Full-time,Female,England,First,35690,21%
2013/14,Full-time,Female,England,Lower second,37680,22%
2013/14,Full-time,Female,England,Third/Pass,6585,4%
2013/14,Full-time,Female,England,Total classified,173005,
2013/14,Full-time,Female,England,Upper second,93045,54%
2013/14,Full-time,Female,Northern Ireland,First,845,19%
2013/14,Full-time,Female,Northern Ireland,Lower second,1050,23%
2013/14,Full-time,Female,Northern Ireland,Third/Pass,110,2%
2013/14,Full-time,Female,Northern Ireland,Total classified,4505,
2013/14,Full-time,Female,Northern Ireland,Upper second,2500,56%
2013/14,Full-time,Female,Scotland,First,2715,20%
2013/14,Full-time,Female,Scotland,Lower second,2665,20%
2013/14,Full-time,Female,Scotland,Third/Pass,310,2%
2013/14,Full-time,Female,Scotland,Total classified,13360,
2013/14,Full-time,Female,Scotland,Upper second,7665,57%
2013/14,Full-time,Female,Wales,First,2155,18%
2013/14,Full-time,Female,Wales,Lower second,3075,26%
2013/14,Full-time,Female,Wales,Third/Pass,530,5%
2013/14,Full-time,Female,Wales,Total classified,11690,
2013/14,Full-time,Female,Wales,Upper second,5930,51%
2013/14,Full-time,Male,All,First,32390,20%
2013/14,Full-time,Male,All,Lower second,41285,26%
2013/14,Full-time,Male,All,Third/Pass,9135,6%
2013/14,Full-time,Male,All,Total classified,159785,
2013/14,Full-time,Male,All,Upper second,76970,48%
2013/14,Full-time,Male,England,First,27890,20%
2013/14,Full-time,Male,England,Lower second,34780,26%
2013/14,Full-time,Male,England,Third/Pass,7920,6%
2013/14,Full-time,Male,England,Total classified,136225,
2013/14,Full-time,Male,England,Upper second,65635,48%
2013/14,Full-time,Male,Northern Ireland,First,605,19%
2013/14,Full-time,Male,Northern Ireland,Lower second,880,28%
2013/14,Full-time,Male,Northern Ireland,Third/Pass,115,4%
2013/14,Full-time,Male,Northern Ireland,Total classified,3185,
2013/14,Full-time,Male,Northern Ireland,Upper second,1585,50%
2013/14,Full-time,Male,Scotland,First,2200,21%
2013/14,Full-time,Male,Scotland,Lower second,2500,24%
2013/14,Full-time,Male,Scotland,Third/Pass,420,4%
2013/14,Full-time,Male,Scotland,Total classified,10375,
2013/14,Full-time,Male,Scotland,Upper second,5260,51%
2013/14,Full-time,Male,Wales,First,1700,17%
2013/14,Full-time,Male,Wales,Lower second,3120,31%
2013/14,Full-time,Male,Wales,Third/Pass,685,7%
2013/14,Full-time,Male,Wales,Total classified,9995,
2013/14,Full-time,Male,Wales,Upper second,4490,45%
2013/14,Full-time,Other,All,First,10,32%
2013/14,Full-time,Other,All,Lower second,5,21%
2013/14,Full-time,Other,All,Third/Pass,0,4%
2013/14,Full-time,Other,All,Total classified,30,
2013/14,Full-time,Other,All,Upper second,10,43%
2013/14,Full-time,Other,England,First,5,..
2013/14,Full-time,Other,England,Lower second,5,..
2013/14,Full-time,Other,England,Third/Pass,0,..
2013/14,Full-time,Other,England,Total classified,20,
2013/14,Full-time,Other,England,Upper second,10,..
2013/14,Full-time,Other,Scotland,First,0,..
2013/14,Full-time,Other,Scotland,Lower second,0,..
2013/14,Full-time,Other,Scotland,Third/Pass,0,..
2013/14,Full-time,Other,Scotland,Total classified,5,
2013/14,Full-time,Other,Scotland,Upper second,5,..
2013/14,Full-time,Other,Wales,First,0,..
2013/14,Full-time,Other,Wales,Lower second,5,..
2013/14,Full-time,Other,Wales,Third/Pass,0,..
2013/14,Full-time,Other,Wales,Total classified,5,
2013/14,Full-time,Other,Wales,Upper second,0,..
2013/14,Part-time,All,All,First,5600,17%
2013/14,Part-time,All,All,Lower second,10205,31%
2013/14,Part-time,All,All,Third/Pass,5230,16%
2013/14,Part-time,All,All,Total classified,33235,
2013/14,Part-time,All,All,Upper second,12195,37%
2013/14,Part-time,All,England,First,5005,17%
2013/14,Part-time,All,England,Lower second,9200,31%
2013/14,Part-time,All,England,Third/Pass,4880,16%
2013/14,Part-time,All,England,Total classified,29920,
2013/14,Part-time,All,England,Upper second,10835,36%
2013/14,Part-time,All,Northern Ireland,First,140,16%
2013/14,Part-time,All,Northern Ireland,Lower second,285,32%
2013/14,Part-time,All,Northern Ireland,Third/Pass,65,7%
2013/14,Part-time,All,Northern Ireland,Total classified,870,
2013/14,Part-time,All,Northern Ireland,Upper second,385,44%
2013/14,Part-time,All,Scotland,First,205,18%
2013/14,Part-time,All,Scotland,Lower second,340,30%
2013/14,Part-time,All,Scotland,Third/Pass,145,13%
2013/14,Part-time,All,Scotland,Total classified,1145,
2013/14,Part-time,All,Scotland,Upper second,450,40%
2013/14,Part-time,All,Wales,First,250,19%
2013/14,Part-time,All,Wales,Lower second,385,30%
2013/14,Part-time,All,Wales,Third/Pass,145,11%
2013/14,Part-time,All,Wales,Total classified,1305,
2013/14,Part-time,All,Wales,Upper second,525,40%
2013/14,Part-time,Female,All,First,3120,16%
2013/14,Part-time,Female,All,Lower second,6050,31%
2013/14,Part-time,Female,All,Third/Pass,3070,16%
2013/14,Part-time,Female,All,Total classified,19670,
2013/14,Part-time,Female,All,Upper second,7425,38%
2013/14,Part-time,Female,England,First,2800,16%
2013/14,Part-time,Female,England,Lower second,5465,31%
2013/14,Part-time,Female,England,Third/Pass,2890,16%
2013/14,Part-time,Female,England,Total classified,17830,
2013/14,Part-time,Female,England,Upper second,6670,37%
2013/14,Part-time,Female,Northern Ireland,First,75,15%
2013/14,Part-time,Female,Northern Ireland,Lower second,165,34%
2013/14,Part-time,Female,Northern Ireland,Third/Pass,35,7%
2013/14,Part-time,Female,Northern Ireland,Total classified,485,
2013/14,Part-time,Female,Northern Ireland,Upper second,210,43%
2013/14,Part-time,Female,Scotland,First,115,18%
2013/14,Part-time,Female,Scotland,Lower second,185,30%
2013/14,Part-time,Female,Scotland,Third/Pass,85,14%
2013/14,Part-time,Female,Scotland,Total classified,625,
2013/14,Part-time,Female,Scotland,Upper second,240,38%
2013/14,Part-time,Female,Wales,First,130,18%
2013/14,Part-time,Female,Wales,Lower second,230,31%
2013/14,Part-time,Female,Wales,Third/Pass,60,8%
2013/14,Part-time,Female,Wales,Total classified,735,
2013/14,Part-time,Female,Wales,Upper second,310,43%
2013/14,Part-time,Male,All,First,2480,18%
2013/14,Part-time,Male,All,Lower second,4155,31%
2013/14,Part-time,Male,All,Third/Pass,2160,16%
2013/14,Part-time,Male,All,Total classified,13565,
2013/14,Part-time,Male,All,Upper second,4770,35%
2013/14,Part-time,Male,England,First,2200,18%
2013/14,Part-time,Male,England,Lower second,3730,31%
2013/14,Part-time,Male,England,Third/Pass,1985,16%
2013/14,Part-time,Male,England,Total classified,12090,
2013/14,Part-time,Male,England,Upper second,4170,34%
2013/14,Part-time,Male,Northern Ireland,First,65,17%
2013/14,Part-time,Male,Northern Ireland,Lower second,115,30%
2013/14,Part-time,Male,Northern Ireland,Third/Pass,30,8%
2013/14,Part-time,Male,Northern Ireland,Total classified,385,
2013/14,Part-time,Male,Northern Ireland,Upper second,175,45%
2013/14,Part-time,Male,Scotland,First,95,18%
2013/14,Part-time,Male,Scotland,Lower second,150,29%
2013/14,Part-time,Male,Scotland,Third/Pass,60,12%
2013/14,Part-time,Male,Scotland,Total classified,520,
2013/14,Part-time,Male,Scotland,Upper second,215,41%
2013/14,Part-time,Male,Wales,First,120,21%
2013/14,Part-time,Male,Wales,Lower second,155,27%
2013/14,Part-time,Male,Wales,Third/Pass,85,15%
2013/14,Part-time,Male,Wales,Total classified,570,
2013/14,Part-time,Male,Wales,Upper second,210,37%
2013/14,Part-time,Other,All,First,0,..
2013/14,Part-time,Other,All,Lower second,0,..
2013/14,Part-time,Other,All,Third/Pass,0,..
2013/14,Part-time,Other,All,Total classified,0,
2013/14,Part-time,Other,All,Upper second,0,..
2013/14,Part-time,Other,England,First,0,..
2013/14,Part-time,Other,England,Lower second,0,..
2013/14,Part-time,Other,England,Third/Pass,0,..
2013/14,Part-time,Other,England,Total classified,0,
2013/14,Part-time,Other,England,Upper second,0,..
2014/15,All,All,All,First,81640,22%
2014/15,All,All,All,Lower second,85250,23%
2014/15,All,All,All,Third/Pass,20340,5%
2014/15,All,All,All,Total classified,370905,
2014/15,All,All,All,Upper second,183680,50%
2014/15,All,All,England,First,70000,22%
2014/15,All,All,England,Lower second,72250,23%
2014/15,All,All,England,Third/Pass,17720,6%
2014/15,All,All,England,Total classified,315375,
2014/15,All,All,England,Upper second,155405,49%
2014/15,All,All,Northern Ireland,First,1765,20%
2014/15,All,All,Northern Ireland,Lower second,2175,24%
2014/15,All,All,Northern Ireland,Third/Pass,405,5%
2014/15,All,All,Northern Ireland,Total classified,8970,
2014/15,All,All,Northern Ireland,Upper second,4620,52%
2014/15,All,All,Scotland,First,5715,22%
2014/15,All,All,Scotland,Lower second,5120,20%
2014/15,All,All,Scotland,Third/Pass,950,4%
2014/15,All,All,Scotland,Total classified,25465,
2014/15,All,All,Scotland,Upper second,13680,54%
2014/15,All,All,Wales,First,4155,20%
2014/15,All,All,Wales,Lower second,5710,27%
2014/15,All,All,Wales,Third/Pass,1260,6%
2014/15,All,All,Wales,Total classified,21095,
2014/15,All,All,Wales,Upper second,9975,47%
2014/15,All,Female,All,First,45830,22%
2014/15,All,Female,All,Lower second,45845,22%
2014/15,All,Female,All,Third/Pass,10105,5%
2014/15,All,Female,All,Total classified,210840,
2014/15,All,Female,All,Upper second,109060,52%
2014/15,All,Female,England,First,39185,22%
2014/15,All,Female,England,Lower second,39010,22%
2014/15,All,Female,England,Third/Pass,8915,5%
2014/15,All,Female,England,Total classified,179450,
2014/15,All,Female,England,Upper second,92345,51%
2014/15,All,Female,Northern Ireland,First,1015,20%
2014/15,All,Female,Northern Ireland,Lower second,1150,23%
2014/15,All,Female,Northern Ireland,Third/Pass,170,3%
2014/15,All,Female,Northern Ireland,Total classified,5100,
2014/15,All,Female,Northern Ireland,Upper second,2760,54%
2014/15,All,Female,Scotland,First,3215,22%
2014/15,All,Female,Scotland,Lower second,2725,19%
2014/15,All,Female,Scotland,Third/Pass,440,3%
2014/15,All,Female,Scotland,Total classified,14555,
2014/15,All,Female,Scotland,Upper second,8175,56%
2014/15,All,Female,Wales,First,2410,21%
2014/15,All,Female,Wales,Lower second,2960,25%
2014/15,All,Female,Wales,Third/Pass,580,5%
2014/15,All,Female,Wales,Total classified,11735,
2014/15,All,Female,Wales,Upper second,5780,49%
2014/15,All,Male,All,First,35795,22%
2014/15,All,Male,All,Lower second,39400,25%
2014/15,All,Male,All,Third/Pass,10230,6%
2014/15,All,Male,All,Total classified,160020,
2014/15,All,Male,All,Upper second,74595,47%
2014/15,All,Male,England,First,30805,23%
2014/15,All,Male,England,Lower second,33235,24%
2014/15,All,Male,England,Third/Pass,8805,6%
2014/15,All,Male,England,Total classified,135890,
2014/15,All,Male,England,Upper second,63045,46%
2014/15,All,Male,Northern Ireland,First,750,19%
2014/15,All,Male,Northern Ireland,Lower second,1025,26%
2014/15,All,Male,Northern Ireland,Third/Pass,235,6%
2014/15,All,Male,Northern Ireland,Total classified,3870,
2014/15,All,Male,Northern Ireland,Upper second,1860,48%
2014/15,All,Male,Scotland,First,2500,23%
2014/15,All,Male,Scotland,Lower second,2395,22%
2014/15,All,Male,Scotland,Third/Pass,510,5%
2014/15,All,Male,Scotland,Total classified,10900,
2014/15,All,Male,Scotland,Upper second,5500,50%
2014/15,All,Male,Wales,First,1745,19%
2014/15,All,Male,Wales,Lower second,2745,29%
2014/15,All,Male,Wales,Third/Pass,680,7%
2014/15,All,Male,Wales,Total classified,9360,
2014/15,All,Male,Wales,Upper second,4190,45%
2014/15,All,Other,All,First,15,28%
2014/15,All,Other,All,Lower second,5,15%
2014/15,All,Other,All,Third/Pass,0,4%
2014/15,All,Other,All,Total classified,45,
2014/15,All,Other,All,Upper second,25,53%
2014/15,All,Other,England,First,10,32%
2014/15,All,Other,England,Lower second,5,19%
2014/15,All,Other,England,Third/Pass,0,5%
2014/15,All,Other,England,Total classified,35,
2014/15,All,Other,England,Upper second,15,43%
2014/15,All,Other,Scotland,First,0,..
2014/15,All,Other,Scotland,Lower second,0,..
2014/15,All,Other,Scotland,Third/Pass,0,..
2014/15,All,Other,Scotland,Total classified,10,
2014/15,All,Other,Scotland,Upper second,5,..
2014/15,All,Other,Wales,First,0,..
2014/15,All,Other,Wales,Lower second,0,..
2014/15,All,Other,Wales,Third/Pass,0,..
2014/15,All,Other,Wales,Total classified,0,
2014/15,All,Other,Wales,Upper second,0,..
2014/15,Full-time,All,All,First,76030,22%
2014/15,Full-time,All,All,Lower second,75350,22%
2014/15,Full-time,All,All,Third/Pass,15080,4%
2014/15,Full-time,All,All,Total classified,338170,
2014/15,Full-time,All,All,Upper second,171705,51%
2014/15,Full-time,All,England,First,64965,23%
2014/15,Full-time,All,England,Lower second,63345,22%
2014/15,Full-time,All,England,Third/Pass,12890,5%
2014/15,Full-time,All,England,Total classified,285925,
2014/15,Full-time,All,England,Upper second,144720,51%
2014/15,Full-time,All,Northern Ireland,First,1645,20%
2014/15,Full-time,All,Northern Ireland,Lower second,1865,23%
2014/15,Full-time,All,Northern Ireland,Third/Pass,325,4%
2014/15,Full-time,All,Northern Ireland,Total classified,8070,
2014/15,Full-time,All,Northern Ireland,Upper second,4230,52%
2014/15,Full-time,All,Scotland,First,5520,23%
2014/15,Full-time,All,Scotland,Lower second,4790,20%
2014/15,Full-time,All,Scotland,Third/Pass,795,3%
2014/15,Full-time,All,Scotland,Total classified,24365,
2014/15,Full-time,All,Scotland,Upper second,13260,54%
2014/15,Full-time,All,Wales,First,3900,20%
2014/15,Full-time,All,Wales,Lower second,5350,27%
2014/15,Full-time,All,Wales,Third/Pass,1070,5%
2014/15,Full-time,All,Wales,Total classified,19810,
2014/15,Full-time,All,Wales,Upper second,9495,48%
2014/15,Full-time,Female,All,First,42780,22%
2014/15,Full-time,Female,All,Lower second,39835,21%
2014/15,Full-time,Female,All,Third/Pass,7060,4%
2014/15,Full-time,Female,All,Total classified,191460,
2014/15,Full-time,Female,All,Upper second,101780,53%
2014/15,Full-time,Female,England,First,36445,23%
2014/15,Full-time,Female,England,Lower second,33580,21%
2014/15,Full-time,Female,England,Third/Pass,6100,4%
2014/15,Full-time,Female,England,Total classified,161925,
2014/15,Full-time,Female,England,Upper second,85800,53%
2014/15,Full-time,Female,Northern Ireland,First,955,21%
2014/15,Full-time,Female,Northern Ireland,Lower second,975,21%
2014/15,Full-time,Female,Northern Ireland,Third/Pass,135,3%
2014/15,Full-time,Female,Northern Ireland,Total classified,4600,
2014/15,Full-time,Female,Northern Ireland,Upper second,2535,55%
2014/15,Full-time,Female,Scotland,First,3110,22%
2014/15,Full-time,Female,Scotland,Lower second,2550,18%
2014/15,Full-time,Female,Scotland,Third/Pass,350,3%
2014/15,Full-time,Female,Scotland,Total classified,13955,
2014/15,Full-time,Female,Scotland,Upper second,7940,57%
2014/15,Full-time,Female,Wales,First,2270,21%
2014/15,Full-time,Female,Wales,Lower second,2735,25%
2014/15,Full-time,Female,Wales,Third/Pass,475,4%
